identificativo,cifre,allenatore,evento,stato,nota
03102,5,FRÜ2012 PRI2012 SPR2012,Multiple,coperta sul solo identificativo,Used for the Spring 2012 Reshiram and Zekrom distributed in Wi-Fi Could be tucked into the Dream World to access the special Pokémon Movie home.
03102,5,SPR2012,Multiple,coperta con allenatore,Used for the Spring 2012 Reshiram and Zekrom distributed at V&D stores in the Netherlands Could be tucked into the Dream World to access the special Pokémon Movie home.
03116,5,Aldora,Multiple,coperta con allenatore,Used for the Aldora legendary birds in PAL regions
03121,5,포켓몬사랑,Pokémon Love Manaphy,non coperta,None
03126,5,ノリィ♪,Nory Magikarp,coperta con allenatore,None
03145,5,SG Summer'15,Singapore Summer 2015 Rayquaza,coperta con allenatore,Shiny
03145,5,コロコロ,CoroCoro Rayquaza,coperta con allenatore,Shiny ; Later redistributed at Pokémon Center Hiroshima
03154,5,コロコロ,CoroCoro Charizard,coperta con allenatore,Moveset and held item vary by the player's game
03166,5,﻿ＰＣキョウト,Pokémon Center Kyoto Ho-Oh,coperta sul solo identificativo,Shiny
03172,5,かこしま くまもと こくら ちが させぼ ながさき べっぷ みやざき,Multiple,coperta sul solo identificativo,Used for the Pokémon distributed as part of the Super Strong Pokémon Present Campaign
03172,5,ノブナガ,Nobunaga's Black Rayquaza,coperta con allenatore,Shiny
03172,5,フクオカ,Multiple,coperta con allenatore,Used for the Kyogre and Groudon distributed as part of the Super Strong Pokémon Present Campaign
03191,5,サーチャー,Pokémon Searcher BW Axew,coperta con allenatore,None
03196,5,XY&Z,XY&Z Zygarde,coperta con allenatore,Used in Korean regions
03203,5,ナゴヤ,Pokémon Center Nagoya Magikarp,coperta con allenatore,Shiny
03205,5,ＰＧＬ PGL,PGL Amaura,coperta sul solo identificativo,None
03208,5,カイト Carlo Karel Kiko Kyle,Pokémon Ranger Riolu,coperta sul solo identificativo,"Obtainable from Pokémon Ranger: Shadows of Almia . Knows Aura Sphere , a move Riolu cannot learn until evolving into Lucario."
03208,5,アルミア Almia,Almia Darkrai,coperta sul solo identificativo,None
03209,5,オーサカ,PC Osaka Meowth,coperta con allenatore,None
03217,5,やまもと,Yamamoto Whiscash,coperta con allenatore,None
03219,5,한국닌텐도,Nintendo of Korea Mew,non coperta,None
03226,5,XY&Z,XY&Z Xerneas,coperta con allenatore,Shiny ; Used in Korean regions
03232,5,トウホク,Pikachu Festival Pikachu,coperta con allenatore,None
03239,5,ユキポン Elyssa,Skitty (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Fortree City who wants to trade OR AS
03298,5,한국닌텐도,Nintendo of Korea Manaphy,non coperta,None
03303,5,SETEC,Multiple,non coperta,"Used for the Dragonite , Scizor , Tyranitar , Metagross , and Garchomp distributed as part of the Strongest Class Pokémon Gift"
03447,5,パンク Punky,Bisharp (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Snowbelle City who wants to trade X Y
03866,5,ヤミらみこ,Kotone Yasue's Tyranitar,coperta con allenatore,None
04014,5,FRÜHL. 2014 PRIMAV2014 PRIMAVERA14 PRINT. 2014 SPRING 2014,Multiple,coperta sul solo identificativo,Used for the Spring 2014 Electabuzz and Magmar
04015,5,FRÜHL. 2015 PRIMAV2015 PRIMAVERA15 PRINT. 2015 SPRING 2015,Spring 2015 Charizard,coperta sul solo identificativo,Shiny
04016,5,GF,20th Anniversary Jirachi,coperta con allenatore,None
04019,5,Film11 Movie11 Peli11,Movie 11 Shaymin,coperta sul solo identificativo,Can be used to obtain a Gracidea from Platinum to Black 2 and White 2
04035,5,2015 Spring,Spring 2015 Kangaskhan,coperta con allenatore,None
04045,5,박세준,Se Jun Park's Pachirisu,coperta con allenatore,Korean Regional Championships distribution
040601,6,Ilex,European Ilex Forest Celebi,coperta con allenatore,None
04114,5,올레 tv,2014 Olleh TV Charizard,coperta con allenatore,Moveset and held item vary by the player's game
04124,5,스프링카니발,Spring Carnival Garchomp,coperta con allenatore,None
04143,5,Toler,Spring Regional Championships 2013 Ludicolo,coperta con allenatore,None
04155,5,완전스토리,Full Story Shaymin,coperta con allenatore,None
04161,5,アイント,Eind Victini,coperta con allenatore,None
04166,5,ネーベル,East Asian Nebel Volcanion,coperta con allenatore,Prompts special dialogue in X and Y
04194,5,ふしぎのくに,Wonderland Darkrai,coperta con allenatore,None
04203,5,BEXCO,Multiple,non coperta,"Used for the Dragonite , Scizor , Tyranitar , Metagross , and Garchomp distributed as part of the Strongest Class Pokémon Gift"
04206,5,XY&Z,XY&Z Yveltal,coperta con allenatore,Shiny ; Used in Korean regions
042218,6,2018 Legends Légendes2018 Legenden2018 Leggende2018 Leyendas2018,Multiple,coperta sul solo identificativo,Used for the Legendary Pokémon Celebration Raikou and Entei
042402,6,너도밤나무,South Korean Ilex Forest Celebi,coperta con allenatore,None
04282,5,サーチャー,Pokémon Searcher BW Piplup,coperta con allenatore,None
04286,5,Ｐスクラップ,Multiple,coperta sul solo identificativo,"Used for the Pokémon Scrap 2016 Venusaur , Charizard , Blastoise , and Shiny Mewtwo"
04296,5,포켓몬영화,Multiple,coperta con allenatore,Used for the distribution of the Movie legendary birds in Korean regions
