identificativo,cifre,allenatore,evento,stato,nota
520159,6,レディダグ Diggette,Diglett (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Lavender Town who wants to trade
53277,5,マイスター Meister,Magikarp (Pokémon),coperta sul solo identificativo,Meister 's ID D P Pt
53437,5,しげしげ,ShigeShige Psyduck,non coperta,None
54118,5,テツ Curtis,Multiple,non coperta,Used for the Pokémon traded by Curtis
54193,5,かけれる,Kakereru Ralts,non coperta,None
54673,5,ユイ 유이 Liesel Lillian Lilo Luna Juno,Rotom (Pokémon),coperta sul solo identificativo,The ID of the Trainer on Route 15 who wants to trade
551873,6,コツブ Higeo,Geodude (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Vermilion City who wants to trade
5656,4,コロコロ,Multiple,coperta con allenatore,Used for the CoroCoro Paradox Pokémon distributions
565640,6,コロコロ,CoroCoro Charizard,coperta con allenatore,None
568659,6,ナンジャモ Iono,Magnemite (Pokémon),coperta sul solo identificativo,Iono 's ID
581022,6,フフー Anga,Multiple,coperta sul solo identificativo,The ID of the Trainer at Poni Gauntlet who wants to trade Bewear for Talonflame S M or Tauros US UM
58125,5,ケイイチ,Keiichi Shinx,non coperta,None
584457,6,コルサ Brassius,Sunflora (Pokémon),coperta sul solo identificativo,Brassius 's ID
590916,6,ユイッチー Yuichi,Barboach (Pokémon),coperta sul solo identificativo,The ID of the Trainer at Royal Avenue who wants to trade US UM
590916,6,ラウレア Laule'a,Poliwhirl (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Konikoni City who wants to trade S M
60042,5,なっつん NORMA,Tangela (Pokémon),coperta sul solo identificativo,The ID of a Trainer wanting to trade on Cinnabar Island FR LG
60114,5,フクオカ オーサカ ナゴヤ サッポロ トウキョー ヨコハマ,Multiple,coperta sul solo identificativo,Used for the Third Gather More Pokémon! Campaign events
60227,5,フクオカ オーサカ ナゴヤ サッポロ トウキョー ヨコハマ,Multiple,coperta sul solo identificativo,Used for the Fourth Gather More Pokémon! Campaign events
60321,5,フクオカ オーサカ ナゴヤ サッポロ トウキョー ヨコハマ,Multiple,coperta sul solo identificativo,Used for the Fifth Gather More Pokémon! Campaign events
60505,5,フクオカ オーサカ ナゴヤ トウキョー ヨコハマ,Multiple,coperta sul solo identificativo,Used for the Sixth and final Gather More Pokémon! Campaign events
60510,5,ポケパーク,PokéPark Mew,coperta sul solo identificativo,None
60623,5,ポケパーク,PokéPark Celebi,coperta sul solo identificativo,None
60707,5,タナバタ,2006 Tanabata Jirachi,coperta con allenatore,None
60720,5,ミツリン,Mitsurin Celebi,coperta con allenatore,None
607213,6,ポケタイムス,Poké Times Trade Meeting Campaign #3 Bidoof LA,non coperta,None
60731,5,ポケパーク,PokéPark Jirachi,coperta sul solo identificativo,First distribution
60830,5,ポケパーク,PokéPark Jirachi,coperta sul solo identificativo,Second distribution
610503,6,クム Kumu,Multiple,coperta sul solo identificativo,The ID of the trainer in Seafolk Village who wants to trade Granbull for Steenee S M or West Sea Shellos US UM
610507,6,キヘ Kihei,Multiple,coperta sul solo identificativo,The ID of the Trainer on Route 5 who wants to trade Lillipup for Bounsweet S M or Noibat US UM
610602,6,ヘパ Sill,Multiple,coperta sul solo identificativo,The ID of the Trainer in Tapu Village who wants to trade Haunter for Alolan Graveler S M or Phantump for another Phantump US UM The traded Pokémon will evolve after being received
61226,5,???,Multiple,non coperta,"Used for Steven's Pokémon in the Multi Battle in Mossdeep Space Center, as well as the Frontier Brains, in Pokémon Emerald"
61848,5,まーたん,Maatan Shinx,non coperta,None
62475,5,あり,Ari Bidoof,non coperta,None
63184,5,めぐっぺ SAIGE,Multiple,coperta sul solo identificativo,"The ID of Trainer wanting to trade on Route 5 , will trade Nidoran♀ for Nidoran♂ FR or vice-versa LG"
648753,6,ハツミ Haley,Skwovet (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Motostoke who wants to trade
65217,5,ユリコ Calla,Petilil (Pokémon),coperta sul solo identificativo,The ID of Trainer wanting to trade on Route 4 B2
654886,6,サワロ Saguaro,Hattrem (Pokémon),coperta sul solo identificativo,Saguaro 's ID
661291,6,オモダカ Geeta,Glimmet (Pokémon),coperta sul solo identificativo,Geeta 's ID
676088,6,ポケタイムス,Poké Times Trade Meeting Campaign #3 Gible,non coperta,None
693489,6,Griddella,Raichu (Pokémon),coperta sul solo identificativo,The ID of the Trainer outside Quasartico Inc. who wants to trade
703019,6,ボーアイス Nicholice,Multiple,coperta sul solo identificativo,The ID of the trainer in Celadon City who wants to trade Sandshrew for Alolan Sandshrew P or Vulpix for Alolan Vulpix E
704310,6,ゼイユ Carmine,Poltchageist (Pokémon),coperta sul solo identificativo,Carmine 's ID
714674,6,ポケタイムス,Multiple,non coperta,Used for the Poké Times Trade Meeting Campaign Chansey and Clefairy distributions
745642,6,ネリネ Amarys,Skarmory (Pokémon),coperta sul solo identificativo,Amarys 's ID
766634,6,アオキ Larry,Dudunsparce (Pokémon),coperta sul solo identificativo,Larry 's ID
766634,6,チリ Rika,Wooper (Pokémon),coperta sul solo identificativo,Rika 's ID
768945,6,シラユキ Grimm,Multiple,coperta sul solo identificativo,The ID of the Trainer in Circhester who wants to trade Vanillish for Throh Sw or Sawk Sh
776706,6,デデンクス,V Jump Christmas Trade Party Dedenne,non coperta,None
797394,6,Tracie,Heracross (Pokémon),coperta sul solo identificativo,The ID of the Trainer on Rouge Street who wants to trade Pikachu for Heracross
808809,6,HOME,Pokémon GO Melmetal,coperta con allenatore,None
816963,6,タロ Lacey,Snubbull (Pokémon),coperta sul solo identificativo,Lacey 's ID
891846,6,タナベ Edmund,Mr. Mime (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Spikemuth who wants to trade
912562,6,Korrina,Lucario (Pokémon),non coperta,Korrina 's ID
933665,6,ネモ Nemona,Tauros (Pokémon),coperta sul solo identificativo,Nemona 's ID
934764,6,Quille,Slowpoke (Pokémon),coperta sul solo identificativo,The ID of the Trainer on South Boulevard who wants to trade
940711,6,エリッチ Psytrice,Raichu (Pokémon),coperta sul solo identificativo,The ID of the Trainer in Saffron City who wants to trade
949475,6,ポピー Poppy,Tinkatuff (Pokémon),coperta sul solo identificativo,Poppy 's ID
970401,6,サトシ Satoshi,Original Cap Pikachu,coperta sul solo identificativo,"Distributed in Japan, Taiwan, and Hong Kong"
970401,6,サトシ,Ash's World Cap Pikachu,coperta con allenatore,None
980718,6,２０ＴＨ☆ ２０ＴＨ,Pokémon Rally 2017 Mew,coperta sul solo identificativo,"The ☆ in the initial OT was considered by the game system to be illegitimate, and was soon replaced by the other OT The second variant was later distributed locally at Japanese Pokémon Centers"
980718,6,はかせ,Professor's Mewtwo,coperta con allenatore,None
980975,6,タイム Tyme,Rockruff (Pokémon),coperta sul solo identificativo,Tyme 's ID
993663,6,カエデ Katy,Combee (Pokémon),coperta sul solo identificativo,"Katy 's ID <span class=""mw-headline"""
